Comparisons    Time
221            0.00
720            2.00
400            1.00
1037            2.00
864            2.00
255            0.00
394            1.00
543            1.00
503            1.00
268            0.00
405            1.00
584            1.00
592            2.00
714            1.00
280            1.00
378            1.00
416            1.00
620            1.00
919            2.00
577            1.00
405            0.00
800            1.00
844            2.00
505            1.00
775            2.00
637            2.00
416            1.00
463            1.00
521            1.00
174            0.00
202            1.00
600            1.00
620            2.00
396            1.00
139            1.00
508            1.00
627            1.00
921            2.00
757            1.00
784            2.00
620            1.00
141            0.00
313            1.00
344            1.00
520            1.00
156            0.00
413            1.00
1041            2.00
156            1.00
631            1.00
519            1.00
363            1.00
141            1.00
770            2.00
246            1.00
518            1.00
827            2.00
708            2.00
475            1.00
927            2.00
359            1.00
239            0.00
1037            2.00
545            1.00
700            2.00
133            1.00
716            2.00
301            1.00
753            3.00
322            1.00
734            2.00
825            2.00
642            1.00
731            1.00
599            2.00
133            0.00
409            1.00
316            0.00
515            1.00
181            0.00
129            0.00
952            2.00
821            2.00
482            1.00
173            1.00
143            1.00
331            1.00
169            1.00
442            1.00
911            2.00
192            1.00
833            1.00
343            0.00
555            1.00
549            1.00
990            2.00
693            1.00
667            2.00
206            1.00
336            0.00
230            1.00
320            0.00
306            0.00
283            1.00
337            1.00
1017            2.00
556            1.00
312            0.00
410            1.00
917            2.00
263            1.00
380            1.00
373            1.00
925            2.00
608            1.00
611            1.00
189            0.00
422            1.00
420            1.00
444            1.00
789            1.00
650            1.00
213            1.00
700            1.00
962            2.00
937            1.00
845            1.00
757            2.00
315            0.00
625            1.00
201            1.00
644            2.00
697            1.00
1019            2.00
646            2.00
753            1.00
935            2.00
715            2.00
144            0.00
661            1.00
290            1.00
183            0.00
638            2.00
889            1.00
210            0.00
1003            2.00
800            2.00
987            2.00
496            1.00
579            1.00
999            2.00
948            2.00
203            1.00
897            2.00
859            2.00
1042            2.00
653            1.00
498            1.00
263            1.00
555            1.00
694            2.00
570            2.00
246            0.00
920            2.00
